"";"ABBREVIAT";"SPECIES_NR";"LETTERCODE";"RANG";"GRUPPE";"TaxonName";"STATUS_D";"N";"F";"T";"AR";"HEIMAT";"HÄUFIGK";"GEF2006";"FSKNR";"GLOB_RBD";"NAT_RBD";"UEREG_GEF";"RELEVANZ";"UEREG_BED";"HANDLUNG";"GEF1991";"RL_BALT";"RLD";"FFH_Anh";"BARTSCH";"TAX_Ind";"TAX_Bew";"RLPGMV";"FFH1";"FFH2";"FFH3";"FFH4";"FFH_FSP_1";"FFH_FSP_2";"BIOTOP";"BioNr";"BioCode";"BioName";"Para20";"StandCode";"BioTyp1";"BioTyp2";"BioTyp3";"HLRT_WM";"Massn_1";"Massn_2";"Massn_3";"Instrument"
"471";"Cerastium glutinosum";1461;"CRSTGLU";"SPE";"S";"Cerastium glutinosum";"I";"3";2;2;"x";"";"s";"u";NA;"";"";"";"";NA;"";"D";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"472";"Cerastium holosteoides";1451;"CRSTHOL";"SPE";"S";"Cerastium holosteoides";"I";"3";2;2;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"473";"Cerastium lucorum";21194;"CRSTLUC";"SPE";"S";"Cerastium lucorum";"I";"1";1;1;"x";"";"vermutlich z";"G";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"474";"Cerastium semidecandrum";1463;"CRSTSEM";"SPE";"S";"Cerastium semidecandrum";"I";"1";1;1;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"475";"Cerastium tomentosum";6480;"CRSTTOM";"SPE";"S";"Cerastium tomentosum";"N";"3";4;3;"";"Apenninen, Sizilien";"s";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"476";"Ceratophyllum demersum";1468;"CRTPDEM";"SPE";"S";"Ceratophyllum demersum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"477";"Ceratophyllum submersum";1471;"CRTPSUB";"SPE";"S";"Ceratophyllum submersum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"478";"Cerinthe major";1476;"CRNTMAJ";"SPE";"S";"Cerinthe major";"";"4b";4;3;"";"Mittelmeergebiet";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"479";"Ceterach officinarum";1480;"ASPLCET";"SPE";"S";"Ceterach officinarum";"I";"3";2;3;"N Vp";"";"ss";"R";NA;"";"";"!!!";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"480";"Chaerophyllum aromaticum";1486;"CHRPARO";"SPE";"S";"Chaerophyllum aromaticum";"I";"4a";4;3;"";"O-, SO- und südöstl. M-EUR";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"481";"Chaerophyllum bulbosum";1488;"CHRPBUL";"SPE";"S";"Chaerophyllum bulbosum";"I";"1";1;1;"";"südl. M-, O- und SO-EUR";"s";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"26.2.2.3";NA;NA;NA;NA;"6430";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"482";"Chaerophyllum temulum";1494;"CHRPTEM";"SPE";"S";"Chaerophyllum temulum";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"483";"Chaeturus fasciculatus";93632;"CHTUFAS";"SPE";"S";"Chaeturus fasciculatus";"";"4b";4;3;"";"Italien, Pyrenäenhalbinsel";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"484";"Chamaecytisus supinus";1506;"CHMCSUP";"SPE";"S";"Chamaecytisus supinus";"I";"4b";4;3;"";"Pontisches Gebiet bis südl. M-EUR, Balkan bis Spanien";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"485";"Chamaemelum mixtum";6611;"CHMMMIX";"SPE";"S";"Chamaemelum mixtum";"";"4b";3;3;"";"Mittelmeergebiet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"486";"Chamaemelum nobile";1508;"CHMMNOB";"SPE";"S";"Chamaemelum nobile";"";"4b";3;3;"";"W-EUR, westl. Mittelmeergebiet";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"487";"Cheiranthus cheiri";21251;"ERYSRHE";"SPE";"S";"Cheiranthus cheiri";"";"4b";4;3;"";"östl. Mittelmeergebiet";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"488";"Chelidonium majus";1513;"CHLDMAJ";"SPE";"S";"Chelidonium majus";"I";"3";2;2;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"489";"Chenopodium acuminatum";93645;"CHNPACU";"SPE";"S";"Chenopodium acuminatum";"";"4b";3;3;"";"Zentral- und O-AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"490";"Chenopodium album";1515;"CHNPALB";"SPE";"S";"Chenopodium album";"A/I";"2";3;2;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"491";"Chenopodium ambrosioides";1519;"CHNPAMB";"SPE";"S";"Chenopodium ambrosioides";"I";"4b";3;3;"";"subtrop. AM, AFR, Mittelmeergebiet eingebürgert";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"492";"Chenopodium aristatum";10163;"CHNPARI";"SPE";"S";"Chenopodium aristatum";"";"4b";3;3;"";"O-EUR, AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"493";"Chenopodium bonus-henricus";1521;"CHNPBON";"SPE";"S";"Chenopodium bonus-henricus";"I";"3";3;2;"x";"";"v >";"2";NA;"";"";"";"";NA;"";"3";"";3;"";"";3;"!";"O26.3, 26.3.1.1";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"494";"Chenopodium botryodes";1532;"CHNPCHE";"SPE";"S";"Chenopodium botryodes";"I";"1";1;1;"NO x";"";"s";"1";NA;"";"";"";"";NA;"";"1";"3";NA;"";"";NA;"";"";NA;NA;NA;NA;"1310";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"495";"Chenopodium botrys";1522;"DYSPBOT";"SPE";"S";"Chenopodium botrys";"";"4b";3;3;"";"Mittelmeergebiet, SO-EUR bis China";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"496";"Chenopodium capitatum";1523;"CHNPCAP";"SPE";"S";"Chenopodium capitatum";"";"4b";3;3;"";"vermutlich N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"497";"Chenopodium ficifolium";1524;"CHNPFIC";"SPE";"S";"Chenopodium ficifolium";"A/I";"2";3;3;"N Vp";"Mittelmeergebiet bis S-Sibirien";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"498";"Chenopodium foliosum";1525;"CHNPFOL";"SPE";"S";"Chenopodium foliosum";"S#";"4b";4;3;"";"Alpen bis O-EUR, W-AS";"s";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"499";"Chenopodium giganteum";6708;"CHNPGIG";"SPE";"S";"Chenopodium giganteum";"";"4b";3;3;"";"N-Indien (O-AS?), weltweit eingebürgert";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"500";"Chenopodium gigantospermum";93648;"CHNPPIG";"SPE";"S";"Chenopodium gigantospermum";"";"4b";3;3;"";"N-AM";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"501";"Chenopodium glaucum";1526;"CHNPGLA";"SPE";"S";"Chenopodium glaucum";"A/I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"502";"Chenopodium hircinum";6709;"CHNPHIR";"SPE";"S";"Chenopodium hircinum";"I";"4b";3;3;"";"S-AM";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"503";"Chenopodium hybridum";1527;"CHNPHYB";"SPE";"S";"Chenopodium hybridum";"A";"3";3;2;"x";"";"z >, fr v";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"504";"Chenopodium karoi";93649;"CHNPKAR";"SPE";"S";"Chenopodium karoi";"";"4b";3;3;"";"Zentral-AS, Turkestan, Mongolei, W-China, Tibet";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"505";"Chenopodium murale";1528;"CHNPMUR";"SPE";"S";"Chenopodium murale";"A/I";"3";3;2;"x";"";"s >, fr z";"2";NA;"";"";"";"";NA;"";"2";"";3;"";"";3;"!";"O17.1";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"10.1.4";"RHP";"Ruderale Pionierflur";"-";"(39.06)";"-";"";"ODF";"o";"Erhalt dörflicher Ruderalstellen";"";"";"bisher keine"
"506";"Chenopodium opulifolium";1516;"CHNPOPU";"SPE";"S";"Chenopodium opulifolium";"I";"4b";3;3;"";"Mittelmeerländer, Alpen, AFR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"507";"Chenopodium pamiricum";93650;"CHNPPAM";"SPE";"S";"Chenopodium pamiricum";"I";"4b";3;3;"";"Pamir";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"508";"Chenopodium polyspermum";1529;"CHNPPOL";"SPE";"S";"Chenopodium polyspermum";"I";"1";1;1;"x";"";"z >, fr v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"509";"Chenopodium pratericola";6711;"CHNPPRA";"SPE";"S";"Chenopodium pratericola";"";"4b";3;3;"";"Alaska, westl. N-AM bis Mexiko";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"510";"Chenopodium probstii";6712;"CHNPPRO";"SPE";"S";"Chenopodium probstii";"I";"4b";3;3;"";"Australien";"z adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"511";"Chenopodium pumilio";1530;"DYSPPUM";"SPE";"S";"Chenopodium pumilio";"";"4b";3;3;"";"Australien, Neuseeland";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"512";"Chenopodium rubrum";1533;"CHNPRUB";"SPE";"S";"Chenopodium rubrum";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"513";"Chenopodium schraderianum";90790;"CHNPSCH";"SPE";"S";"Chenopodium schraderianum";"I";"4b";3;3;"";"trop. und subtrop. AFR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"514";"Chenopodium strictum";1517;"CHNPSTR";"SPE";"S";"Chenopodium strictum";"";"4b";3;3;"";"SW-AS bis O-AS";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"515";"Chenopodium strictum subsp. striatiforme";6482;"CHNPATR";"SSP";"S";"Chenopodium strictum subsp. striatiforme";"N";"3";3;3;"";"?";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"516";"Chenopodium suecicum";1518;"CHNPSUE";"SPE";"S";"Chenopodium suecicum";"A/I";"3";2;2;"x";"";"z";"uu";301;"";"!";"";"";1;"-";"";"";NA;"";"";3;"!";"x";NA;NA;NA;NA;"Ruderalvegetation";"";"";"10.1.4";"RHP";"Ruderale Pionierflur";"-";"(39.06)";"-";"";"";"o";"Erhalt dörflicher Ruderalstellen";"";"";"bisher keine"
"517";"Chenopodium urbicum";1535;"CHNPURB";"SPE";"S";"Chenopodium urbicum";"A";"3";3;2;"x";"";"fr z, s adventiv";"0";NA;"";"";"!!";"";NA;"[!!]";"0";"";1;"";"";3;"!";"-";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"10.1.4";"RHP";"Ruderale Pionierflur";"-";"(39.06)";"-";"";"ODF";"o";"Erhalt dörflicher Ruderalstellen";"";"";"bisher keine"
"518";"Chenopodium vulvaria";1536;"CHNPVUL";"SPE";"S";"Chenopodium vulvaria";"A";"3";3;3;"x";"";"fr s";"0";NA;"";"";"!";"";NA;"[!]";"1";"";2;"";"";3;"!";"-";NA;NA;NA;NA;"dörfliche Ruderalvegetation";"";"";"10.1.4";"RHP";"Ruderale Pionierflur";"-";"(39.06)";"-";"";"ODF";"o";"Erhalt dörflicher Ruderalstellen";"";"";"bisher keine"
"519";"Chimaphila umbellata";1537;"CHMPUMB";"SPE";"S";"Chimaphila umbellata";"I";"1";1;1;"NW x";"";"s >, fr z";"1";104;"";"";"!";"§";3;"!!";"1";"";2;"";"§";5;"!!";"32.1.1.3";NA;NA;NA;NA;"borealer Nadelwald";"";"x";"";"WKA";"Bodensaurer Kiefernwald des Küsten- und Binnenlandes";"(§ 20)";"";"B16";"";"";"o";"Schutz vor Nährstoffeinträgen";"Duldung natürlicher Kiefernwald-Sukzession auf Sand-Rohböden (Truppenübungsplätzen, Dünen)";"";"Schutzgebiete"
"520";"Chionodoxa forbesii";12890;"SCLLFOR";"SPE";"S";"Chionodoxa forbesii";"N";"3";4;3;"";"Türkei";"z verwildert";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"521";"Chloris virgata";93653;"CHLLVIR";"SPE";"S";"Chloris virgata";"";"4b";3;3;"";"wärmere Gebiete der Erde";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"522";"Chondrilla juncea";1539;"CHNDJUN";"SPE";"S";"Chondrilla juncea";"I";"1";1;1;"N x";"";"z";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"523";"Chorispora tenella";1540;"CHRSTEN";"SPE";"S";"Chorispora tenella";"I";"4b";3;3;"";"SO-EUR, Inner-AS bis Mongolei";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"524";"Chrysanthemum carinatum";93655;"ISMLCAR";"SPE";"S";"Chrysanthemum carinatum";"";"4b";4;3;"";"NW-AFR";"s verwildert oder adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"525";"Chrysanthemum coronarium";6715;"GLBNCOR";"SPE";"S";"Chrysanthemum coronarium";"";"4b";4;3;"";"S-EUR";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"526";"Chrysanthemum segetum";1542;"GLBNSEG";"SPE";"S";"Chrysanthemum segetum";"A";"3";3;2;"SO x";"";"z >>";"2";NA;"";"";"";"";NA;"";"3";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"527";"Chrysosplenium alternifolium";1544;"CHRYALT";"SPE";"S";"Chrysosplenium alternifolium";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"528";"Chrysosplenium oppositifolium";1545;"CHRYOPP";"SPE";"S";"Chrysosplenium oppositifolium";"I";"1";1;1;"N x und O x";"";"s";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"(!)";"V10.1.2, 10.1.2.1,V30.1.1";NA;NA;NA;NA;"(91E0)";"";"xx";"";"WNQ";"Erlen- und Eschen-Quellwald";"§ 20";"43.03.02, 
43.03.03, 
43.04.01";"B 11, B12";"VQS";"";"W1";"Ungestörte Entwicklung naturnaher Wälder";"Flankierende Maßnahmen zur Stabilisierung des Wasserhaushaltes";"";"Naturwaldparzellen, Kernzonen Schutzgebiete"
"529";"Cicendia filiformis";1546;"CCNDFIL";"SPE";"S";"Cicendia filiformis";"I";"1";1;1;"O x";"";"fr s";"0";NA;"";"";"!!!";"";NA;"[!!!]";"0";"0";1;"";"";7;"!!";"-";NA;NA;NA;NA;"3130";"";"x";"6.6.3";"VSB";"Zwergbinsenrasen und Teichbodenflur";"(§ 20)";"(24.08)";"-";"";"TFB";"B1";"Anpassung Landbewirtschaftung";"Stabilisierung des Wasserhaushaltes";"";"Landschaftspflege"
"530";"Cicerbita macrophylla";1548;"CCRBMAC";"SPE";"S";"Cicerbita macrophylla";"N";"3";4;3;"";"Kaukasus, Ural";"s";"R";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"531";"Cichorium calvum";6705;"CCHRCAL";"SPE";"S";"Cichorium calvum";"";"4b";3;3;"";"Äthiopien";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"532";"Cichorium endivia";6718;"CCHREND";"SPE";"S";"Cichorium endivia";"";"4b";3;3;"";"S-EUR";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"533";"Cichorium intybus subsp. intybus";21320;"CCHRI;I";"SSP";"S";"Cichorium intybus";"I";"3";3;2;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"534";"Cicuta virosa";1551;"CICTVIR";"SPE";"S";"Cicuta virosa";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";3;"";"";5;"!!";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"535";"Circaea alpina";1553;"CIRCALP";"SPE";"S";"Circaea alpina";"I";"1";1;1;"x";"";"z";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"K30";NA;NA;NA;NA;"91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"536";"Circaea lutetiana";1555;"CIRCLUT";"SPE";"S";"Circaea lutetiana";"I";"1";1;1;"x";"";"v";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"537";"Cirsium arvense";1557;"CRSMARV";"SPE";"S";"Cirsium arvense";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"538";"Cirsium helenioides";21329;"CRSMHET";"SPE";"S";"Cirsium helenioides";"";"4b";2;3;"D";"";"s adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"539";"Cirsium oleraceum";1573;"CRSMOLE";"SPE";"S";"Cirsium oleraceum";"I";"1";1;1;"x";"";"g >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"540";"Cirsium palustre";1574;"CRSMPAL";"SPE";"S";"Cirsium palustre";"I";"1";1;1;"x";"";"v >";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"541";"Cirsium rivulare";1576;"CRSMRIV";"SPE";"S";"Cirsium rivulare";"I";"3";2;3;"N Vp";"";"s";"2";NA;"";"";"";"";NA;"";"1";"3";NA;"";"";NA;"";"x";NA;NA;NA;NA;"(6410)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"542";"Cirsium tuberosum";1578;"CRSMTUB";"SPE";"S";"Cirsium tuberosum";"";"4b";3;3;"D";"";"ss adventiv";"k. A.";NA;"";"";"";"";NA;"";"";"";3;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"543";"Cirsium vulgare";1579;"CRSMVUL";"SPE";"S";"Cirsium vulgare";"I";"1";1;1;"x";"";"g";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"544";"Citrullus lanatus";6722;"CTRLLAN";"SPE";"S";"Citrullus lanatus";"N";"4b";3;3;"";"AFR";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"545";"Cladium mariscus";1584;"CLDMMAR";"SPE";"S";"Cladium mariscus";"I";"1";1;1;"x";"";"v";"uu";251;"";"!";"!!";"";4;"-";"";"2";3;"";"";7;"!!";"K12, V12.2.3";7210;7230;NA;NA;"";"";"xx";"6.2.9";"VRC";"Schneidenröhricht";"§ 20";"38.04";"W41, W43";"MZC, MZK";"";"B1";"Ungestörte Naturentwicklung naturnaher Uferbereiche";"";"";"Schutzgebiete, Landschaftsplanung"
"546";"Claytonia perfoliata";1585;"CLYTPER";"SPE";"S";"Claytonia perfoliata";"N";"3";4;3;"";"westl. N- und Mittel-AM";"s, z adventiv";"u";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"547";"Clematis recta";1590;"CLMTREC";"SPE";"S";"Clematis recta";"I";"4b";4;3;"D";"";"ss verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"548";"Clematis vitalba";1591;"CLMTVIT";"SPE";"S";"Clematis vitalba";"I";"2";4;3;"D";"";"v <";"uu";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"549";"Clinopodium vulgare subsp. vulgare";1595;"CLNPV-V";"SSP";"S";"Clinopodium vulgare";"I";"1";1;1;"x";"";"z";"V";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"550";"Cnicus benedictus";27381;"CNTRBEN";"SPE";"S";"Cnicus benedictus";"";"4b";4;3;"";"Mittelmeergebiet bis Afghanistan";"s verwildert";"k. A.";NA;"";"";"";"";NA;"";"";"";NA;"";"";NA;"";"";NA;NA;NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
